#{"t_start": 1763749154.972331, "env_id": "None"}
r,l,t
-3424.5354,15,8.143322
-895.04205,15,8.170222
-1056.9431,6,8.170282
-1579.863,7,8.184536
-1012.92303,2,8.198785
887.6493,29,8.22379
-974.71564,3,8.223858
-1504.1622,7,8.240453
-1432.1868,23,8.240545
-950.02625,45,8.25449
-1057.8695,3,8.290261
-1568.0367,12,8.3052
-1401.6869,5,8.30528
-3014.3008,22,8.339904
-1594.4067,22,8.372972
271.41974,26,8.373242
-2660.9473,18,8.373267
-1540.6741,12,8.373272
648.8552,36,8.420758
-668.7512,7,8.420838
-1064.1082,5,8.451232
-4089.7139,53,8.451303
-2506.602,21,8.45132
3.7009277,84,8.478501
-1751.8114,7,8.478884
-1019.6956,4,8.478911
-516.6939,18,8.495032
-1786.976,9,8.513076
-362.67987,30,8.562096
-783.51135,16,8.562159
-646.60284,4,8.562171
-256.30554,33,8.562179
-1462.1235,4,8.614325
-1055.6013,6,8.61439
-2574.2104,9,8.65428
-1423.3423,4,8.740384
-1079.918,3,8.740488
-369.10535,22,8.789169
-2563.2803,17,8.927691
133.26233,29,8.927828
-617.46454,82,9.05779
-1029.1865,2,9.059487
-2519.688,9,9.114136
-459.74847,18,9.114202
978.0759,26,9.143995
-1131.9358,5,9.309023
-1676.9111,102,9.309351
-1905.6793,21,9.372712
-1082.1411,5,9.421979
-886.3175,50,9.530232
-1351.6973,9,9.572579
-1947.8093,16,9.57268
-1536.8104,6,9.603102
-1732.8972,26,9.603173
2544.0842,68,9.655209
-1495.1663,22,9.655355
-1099.5316,3,9.760218
-1399.5851,14,9.760369
-1115.438,5,9.790718
-3664.3364,67,9.790882
-3360.7065,11,9.815282
-1603.4058,10,9.863026
-1332.8545,7,9.863087
-1280.3137,8,9.863101
-1105.226,3,9.897897
-904.8301,24,9.897992
-1099.188,3,9.931306
-1434.9811,3,9.950726
-964.9695,2,9.97243
101.59619,26,9.972516
-2189.0105,20,9.972538
1078.4259,62,9.986728
-1066.8862,7,10.021987
-1326.7474,6,10.022141
-1524.6533,5,10.041822
-1602.8253,48,10.057572
-2288.7583,44,10.06974
-2107.44,7,10.085514
-1867.4985,17,10.085653
-2676.6074,14,10.085675
-1047.2505,2,10.085682
-927.14325,5,10.112418
-1358.3765,12,10.112501
-981.8887,2,10.127595
686.45874,41,10.158698
-1731.1453,11,10.175614
-275.52673,17,10.175713
-618.6782,5,10.192241
-1311.7714,8,10.192322
-1158.0707,5,10.192339
-111.95776,44,10.213647
-578.4905,28,10.213853
-1095.5955,2,10.242873
-1364.1028,22,10.242928
-1146.6478,9,10.261473
-1342.1907,6,10.261546
-3920.0737,41,10.286832
-1089.7955,6,10.3016
-1571.4023,4,10.301728
-1540.7502,8,10.314517
-969.2999,13,10.326647
-1395.9414,7,10.352988
-1596.1631,3,10.370398
-2839.8506,17,10.37049
-1298.0718,12,10.37052
-1659.6115,11,10.370527
-772.8007,53,10.370533
-2118.1633,12,10.370539
-2353.9912,16,10.383779
-335.96545,24,10.407607
-2469.9893,37,10.464028
-1166.6929,3,10.464108
-1059.3335,37,10.464138
-1641.4307,6,10.48342
-1481.8594,13,10.483514
-927.7555,5,10.483538
-1731.7233,7,10.50945
-4259.3994,33,10.509578
-2335.338,8,10.536607
-2120.8613,10,10.553895
-1062.6337,9,10.55398
-1457.218,23,10.681715
-876.90356,6,10.681849
-1048.7748,2,10.730559
-1033.7842,29,10.752363
-1413.9648,8,10.768562
-1697.9434,20,10.768644
-2364.4517,17,10.784659
-2455.037,41,10.798842
-1011.2012,4,10.828324
-1510.1208,11,10.828395
-579.6333,25,10.828413
-876.2153,6,10.844246
-1399.9858,7,10.844324
